age,annual_income,num_bank_accounts,num_credit_cards,interest_rate,num_loans,delay_from_due_date_days,num_delayed_payments,credit_card_utilization,credit_history_age_months,outstanding_debt,debt_to_income_ratio,credit_score_class
64,123048.13,6,6,8.43,3,3,2,0.09,112,26677.95,21.68,2
24,46551.13,2,8,14.16,3,3,2,0.3287,199,24773.82,53.22,1
61,87901.61,9,6,28.44,7,4,5,0.5794,332,18243.63,20.75,1
25,133810.68,2,5,15.98,1,8,1,0.9036,243,21757.03,16.26,1
64,102868.44,5,11,12.25,0,5,1,0.6799,137,33257.15,32.33,1
52,86949.3,4,8,25.17,2,5,1,0.2987,88,32471.83,37.35,1
31,58785.06,7,2,10.9,3,3,3,0.8952,289,22970.55,39.08,1
34,59955.26,8,1,31.87,5,0,2,0.0824,227,23088.61,38.51,2
53,105380.74,5,1,8.17,6,2,6,0.9311,111,8793.47,8.34,1
67,149208.81,5,4,26.2,1,15,1,0.1028,299,29036.1,19.46,2
57,104348.29,2,6,19.99,7,27,1,0.7285,71,22214.6,21.29,0
21,90300.76,8,9,31.1,7,6,2,0.0908,200,28953.46,32.06,1
19,113637.82,2,1,8.79,7,1,3,0.8884,193,23093.26,20.32,1
23,77802.76,6,1,25.34,3,0,3,0.1478,52,10616.34,13.65,1
59,23119.22,8,5,22.16,6,2,3,0.0954,30,6793.95,29.39,0
21,90910.07,6,10,19.4,6,9,0,0.8503,71,2878.41,3.17,0
46,144279.41,4,5,19.74,1,6,3,0.1362,340,20592.62,14.27,2
35,38665.9,4,5,26.66,0,10,3,0.7681,72,10084.99,26.08,0
43,108150.66,6,10,33.13,7,4,1,0.7223,202,22141.73,20.47,0
61,42126.05,4,6,7.74,5,0,1,0.589,251,2241.24,5.32,2
51,87336.74,8,8,5.59,5,0,2,0.3902,301,13273.07,15.2,2
27,28051.32,9,3,29.17,5,0,4,0.874,105,9267.25,33.04,0
53,75800.08,1,9,8.25,7,4,4,0.834,183,13087.63,17.27,1
31,117082.05,4,1,34.6,3,1,5,0.4336,120,2089.06,1.78,1
48,61922.16,4,4,23.58,1,6,4,0.2586,173,25401.51,41.02,0
65,104763.08,2,9,24.53,7,5,3,0.2953,124,4261.07,4.07,2
32,122385.74,6,8,10.97,5,1,0,0.2483,170,701.21,0.57,2
25,140169.01,3,10,12.21,6,0,3,0.5371,224,33130.86,23.64,2
31,46676.68,7,9,24.78,7,0,4,0.8317,202,6912.1,14.81,1
40,68907.65,5,1,32.29,6,6,3,0.7463,323,29016.53,42.11,1
57,35576.16,4,9,34.47,4,2,3,0.766,242,33763.58,94.91,0
38,148985.27,5,3,10.94,7,1,1,0.4535,174,18787.42,12.61,2
33,140145.13,8,11,9.02,4,9,3,0.3402,81,18508.91,13.21,2
62,87894.21,3,10,6.69,1,4,0,0.7316,292,12986.12,14.77,2
35,128674.49,7,9,31.05,7,3,4,0.764,38,15010.7,11.67,1
64,85329.33,6,1,13.84,3,6,0,0.6758,304,16976.22,19.89,1
41,99184.07,1,1,5.05,3,8,4,0.0789,354,5492.89,5.54,2
43,27031.8,7,9,11.71,0,5,4,0.5807,235,12892.84,47.7,0
42,116961.51,7,11,15.21,0,2,2,0.3623,200,28600.57,24.45,2
62,32241.32,1,6,34.73,5,2,3,0.2266,299,6547.45,20.31,1
58,126519.13,9,4,20.71,2,7,3,0.675,302,25598.89,20.23,2
46,120573.79,6,7,11.14,6,3,8,0.2917,283,22875.21,18.97,2
32,110680.53,2,5,15.04,0,6,5,0.8716,235,2193.96,1.98,1
62,19881.65,5,10,14.91,3,11,3,0.3183,101,980.52,4.93,0
18,55922.33,4,7,5.59,6,12,2,0.5497,176,12467.99,22.3,1
42,50520.2,7,8,9.06,2,1,3,0.795,322,24287.53,48.07,1
24,63618.42,8,8,25.86,0,1,3,0.4119,335,11698.54,18.39,2
26,26831.77,1,1,8.61,1,1,1,0.7958,37,23437.12,87.35,0
41,141489.31,5,8,11.92,4,6,4,0.7013,50,23357.94,16.51,1
18,89763.3,3,6,15.52,0,2,8,0.8788,77,28268.1,31.49,0
61,56245.78,1,4,27.73,7,0,1,0.3433,25,3662.1,6.51,1
25,68592.5,3,8,22.47,0,0,5,0.1445,244,20284.09,29.57,1
41,75372.34,6,3,25.67,7,1,5,0.4373,204,2374.9,3.15,1
28,96080.24,7,4,22.01,1,0,4,0.7572,70,6322.96,6.58,0
68,84616.72,8,6,25.51,3,0,10,0.4554,193,11527.43,13.62,1
34,139117.92,4,11,5.09,5,5,5,0.2858,94,24817.15,17.84,2
25,82090.07,3,7,32.93,1,0,3,0.0748,206,34090.95,41.53,1
52,148941.33,5,4,8.33,5,0,3,0.3317,28,12119.72,8.14,2
52,129942.37,9,4,17.19,0,9,2,0.692,301,18335.83,14.11,2
50,43148.92,6,7,28.13,3,9,4,0.1829,135,9215.13,21.36,0
22,140630.35,9,6,18.06,2,1,2,0.3568,159,23707.04,16.86,2
59,30709.46,6,11,33.41,0,0,2,0.0682,83,12957.19,42.19,1
56,125355.71,2,8,19.03,1,6,2,0.6996,195,16959.55,13.53,1
58,66384.14,5,1,31.25,2,2,3,0.8426,305,19959.89,30.07,1
45,133526.53,9,10,29.32,4,0,5,0.5617,159,24081.23,18.03,1
24,132187.65,8,11,34.43,2,0,5,0.0733,118,2289.8,1.73,2
26,123799.93,7,7,32.8,1,0,4,0.2459,344,19510.56,15.76,2
25,121654.11,1,7,31.94,6,4,6,0.4446,122,15204.51,12.5,1
29,56131.68,4,11,26.95,2,11,4,0.5788,10,4855.03,8.65,0
51,25924.1,7,7,16.01,1,7,1,0.4966,331,7439.68,28.7,2
50,69402.32,7,7,8.18,6,3,6,0.8743,40,30959.38,44.61,0
65,38425.81,6,10,25.66,0,2,3,0.8948,277,30537.81,79.47,0
40,108818.4,8,10,34.36,6,4,1,0.1464,164,1359.89,1.25,1
41,61723.46,6,8,26.8,3,2,3,0.1746,215,24191.17,39.19,1
54,146707.38,3,9,32.86,4,1,2,0.3722,19,19485.72,13.28,1
52,101531.23,4,9,29.13,6,5,2,0.4291,30,32905.59,32.41,0
61,126034.88,3,2,9.89,3,10,4,0.5775,340,31798.6,25.23,2
57,32890.83,1,7,12.48,3,2,3,0.7458,223,20368.75,61.93,0
39,131371.96,5,7,15.26,3,9,2,0.1722,259,5035.63,3.83,2
44,139572.22,1,4,10.05,6,2,2,0.7724,208,16201.56,11.61,1
52,80753.36,1,9,22.45,1,2,2,0.599,106,25435.72,31.5,0
18,96844.15,2,8,34.26,7,0,1,0.9328,234,33320.43,34.41,1
52,118249.32,4,1,27.84,1,5,3,0.6361,204,12861.26,10.88,2
54,38603.21,6,2,17.7,4,8,3,0.6945,183,27506.57,71.25,0
64,82846.42,8,2,5.14,1,5,2,0.2257,281,23980.26,28.95,2
31,68819.51,3,11,14.4,5,0,0,0.742,317,2924.59,4.25,2
20,34760.49,1,8,20.8,1,0,2,0.1213,135,19617.59,56.44,0
18,64617.15,3,1,14.73,1,4,3,0.6409,284,6586.11,10.19,1
22,24203.26,3,4,8.33,1,2,4,0.1,293,23987.52,99.11,1
43,18484.61,5,10,18.28,0,2,4,0.1537,146,21430.95,115.94,0
31,33247.45,4,5,12.6,4,17,1,0.1471,18,34062.07,102.45,0
56,145020.54,4,9,32.28,5,6,1,0.0972,222,32751.32,22.58,2
44,89186.49,9,7,8.05,1,2,2,0.339,191,526.17,0.59,2
26,145385.99,7,8,6.47,7,0,8,0.9449,32,2985.02,2.05,1
32,73387.21,4,11,5.16,4,0,2,0.3634,223,26965.87,36.74,2
32,57095.18,3,9,14.84,2,5,8,0.7347,19,24060.38,42.14,0
43,83329.15,6,7,24.81,0,9,0,0.1691,147,28072.91,33.69,1
59,74334.08,3,5,26.91,6,6,4,0.459,330,9485.16,12.76,2
30,29264.73,6,5,18.6,7,2,3,0.2166,329,29756.43,101.68,0
68,101511.55,9,10,25.53,1,0,4,0.2229,60,15596.2,15.36,1
49,44165.15,6,11,15.8,7,17,6,0.1397,196,9314.42,21.09,1
56,98644.37,4,6,25.03,5,21,5,0.4388,290,569.15,0.58,1
66,102777.15,5,5,6.22,0,3,1,0.118,94,30523.47,29.7,1
69,35523.36,6,11,16.72,5,0,5,0.8688,50,18829.97,53.01,0
49,23282.2,3,9,28.73,6,3,4,0.4531,137,34143.3,146.65,0
21,120402.81,8,3,29.09,6,11,4,0.8047,71,25070.91,20.82,0
47,77073.06,4,3,26.48,7,5,0,0.9315,284,2998.52,3.89,1
54,22852.11,8,7,11.13,0,6,2,0.66,329,20669.05,90.45,0
40,149306.95,3,7,12.42,2,0,5,0.8614,153,795.93,0.53,1
56,22800.38,7,6,34.88,7,0,6,0.1718,150,19610.81,86.01,0
62,108829.76,9,3,8.1,4,0,1,0.797,11,12387.02,11.38,1
32,147796.65,4,7,10.42,0,11,6,0.2941,87,22586.7,15.28,2
60,47289.31,8,5,8.9,3,3,3,0.4753,128,19046.78,40.28,0
46,34203.66,3,7,14.83,6,7,2,0.6319,172,9294.99,27.18,0
53,31386.97,7,2,11.31,2,0,6,0.8632,242,5849.8,18.64,0
30,55942.14,3,6,19.93,7,13,1,0.8699,110,14283.96,25.53,0
49,28641.18,7,8,19.28,6,8,4,0.1329,295,34541.9,120.6,0
24,108441.78,6,1,32.05,3,1,2,0.3781,243,15362.31,14.17,2
68,23409.39,2,4,6.04,2,10,5,0.7639,315,26257.79,112.17,0
39,83771.99,3,11,14.6,6,1,1,0.6828,87,2182.68,2.61,1
45,149554.08,6,1,22.9,3,1,1,0.0737,99,13384.53,8.95,2
19,124885.99,4,1,23.14,3,1,3,0.4549,326,20395.24,16.33,2
59,98054.62,6,10,19.4,6,12,1,0.7963,348,26341.64,26.86,2
62,56344.24,1,11,29.47,7,12,4,0.7139,290,18587.75,32.99,1
23,99225.94,1,8,6.88,6,1,3,0.4207,302,18132.28,18.27,2
45,86150.6,3,7,29.46,5,6,2,0.7116,324,26783.96,31.09,1
45,72521.26,8,10,19.84,0,5,2,0.5461,71,11102.41,15.31,1
61,32645.9,8,1,9.01,0,8,5,0.8714,117,3353.25,10.27,0
61,134691.57,4,11,31.57,2,1,3,0.5784,176,12280.84,9.12,1
37,75720.93,6,2,24.48,4,3,4,0.4107,252,5733.07,7.57,2
47,41274.04,8,4,9.91,6,5,2,0.8266,71,33814.86,81.93,0
28,64647.51,7,1,6.01,7,0,6,0.0949,73,20297.4,31.4,1
45,70907.52,7,3,9.23,5,2,2,0.8605,39,15741.7,22.2,0
42,126717.62,4,8,23.26,0,5,2,0.6767,6,31939.41,25.21,0
56,114037.94,9,8,10.38,0,1,2,0.8965,156,31532.58,27.65,1
50,118856.16,6,8,11.77,7,15,4,0.2755,277,14666.27,12.34,2
18,16489.22,3,6,5.75,5,0,2,0.6754,263,30640.51,185.82,0
44,71180.79,5,6,26.69,1,15,2,0.7785,243,2428.1,3.41,0
69,79981.46,5,5,29.31,5,1,2,0.6819,121,31023.03,38.79,1
30,17590.96,5,9,28.91,7,0,5,0.2393,81,11008.31,62.58,0
58,50074.78,8,4,8.83,0,1,6,0.298,288,19866.26,39.67,1
20,117639.13,9,10,32.1,4,7,3,0.5601,24,9585.16,8.15,0
56,33509.81,9,7,25.17,1,6,3,0.4521,289,34471.02,102.87,0
23,87266.87,6,1,31.93,7,1,0,0.7116,40,2697.94,3.09,0
25,44052.25,6,9,18.41,7,1,1,0.3908,329,15754.04,35.76,2
44,16636.3,9,7,18.11,3,5,1,0.8235,310,21810.39,131.1,0
26,47562.2,4,10,28.54,5,3,4,0.4387,246,21623.31,45.46,1
54,146742.96,6,9,7.8,3,7,4,0.086,12,25908.79,17.66,1
50,123207.51,4,7,20.63,1,0,2,0.0656,42,25409.65,20.62,2
68,144542.85,1,2,30.09,1,4,4,0.6321,158,27801.37,19.23,1
59,80860.3,7,6,29.91,1,6,6,0.5365,250,8353.2,10.33,0
61,29814.39,6,10,33.68,2,25,4,0.5385,255,13093.63,43.92,0
41,88974.53,9,11,25.95,5,5,2,0.761,120,13494.75,15.17,0
32,76340.94,7,4,11.23,7,1,1,0.3881,46,33463.22,43.83,0
49,128988.21,7,3,5.61,6,0,3,0.9459,342,14444.05,11.2,2
49,28241.15,2,2,19.38,4,5,2,0.901,67,7921.05,28.05,0
41,80912.55,9,6,20.41,4,3,6,0.0617,174,22205.59,27.44,2
58,35256.57,9,8,12.21,7,11,0,0.8562,147,15068.89,42.74,0
69,58831.25,6,6,8.74,3,6,0,0.6625,263,8902.79,15.13,2
66,114543.21,3,9,22.59,7,3,2,0.5019,93,25086.71,21.9,1
66,79262.45,1,5,27.93,3,2,4,0.5745,53,6879.0,8.68,0
69,65744.92,4,2,34.79,6,2,5,0.8077,316,22240.72,33.83,1
29,68254.3,3,8,27.75,3,1,2,0.9059,17,15182.47,22.24,0
56,77025.31,1,9,28.81,5,0,6,0.5543,216,11307.02,14.68,1
19,120977.23,3,10,23.49,0,4,1,0.2132,249,33120.18,27.38,2
20,135431.43,4,4,34.58,3,1,4,0.6258,244,11489.38,8.48,1
66,143970.18,8,6,24.2,1,1,12,0.1186,202,12293.26,8.54,2
54,121231.96,9,11,30.81,3,0,3,0.6216,262,30498.22,25.16,2
66,57579.93,3,10,33.37,1,1,3,0.7778,240,4690.71,8.15,1
34,107898.19,6,8,32.9,2,0,5,0.368,192,3960.79,3.67,1
66,74076.42,5,9,16.44,0,5,5,0.1141,206,10038.23,13.55,2
19,49380.53,6,5,7.36,0,2,2,0.673,108,20788.93,42.1,0
19,128517.66,4,6,10.16,6,4,4,0.3554,295,13573.65,10.56,2
45,20187.56,6,11,6.78,5,5,3,0.2742,226,21377.7,105.9,0
40,136737.87,7,4,8.16,7,17,2,0.6703,307,5759.32,4.21,2
54,77299.46,9,5,10.54,5,0,3,0.9226,192,9298.49,12.03,1
49,101022.2,7,7,15.23,4,2,4,0.7208,104,19867.65,19.67,0
50,104012.78,6,9,21.31,2,1,4,0.4922,250,7756.79,7.46,2
18,135840.89,1,10,26.35,6,3,1,0.5905,318,14913.6,10.98,2
36,100950.41,2,11,11.33,5,12,6,0.1781,312,20128.15,19.94,2
19,97881.03,1,6,25.18,1,6,2,0.7819,27,34083.05,34.82,0
61,23998.03,9,6,26.13,2,5,2,0.5939,73,2980.06,12.42,0
43,84985.08,9,8,21.76,0,2,3,0.9192,321,16222.41,19.09,1
49,35272.82,7,11,32.11,7,5,2,0.9315,70,13990.23,39.66,0
23,114553.56,2,4,8.33,7,0,4,0.3691,297,28883.6,25.21,2
49,84149.96,6,3,10.31,1,4,3,0.9397,222,31530.34,37.47,0
21,106830.75,4,7,17.86,6,4,3,0.9112,34,31764.06,29.73,0
28,20625.84,1,5,8.8,6,2,4,0.6258,198,13254.85,64.26,0
34,26446.92,1,2,21.99,2,1,1,0.3501,61,10802.0,40.84,0
55,111703.66,5,2,16.95,0,8,3,0.728,343,15829.98,14.17,2
41,24731.39,2,11,13.54,5,0,0,0.2941,217,12170.72,49.21,1
22,24619.66,4,6,10.1,1,0,1,0.6169,243,25216.01,102.42,0
69,16634.64,1,8,15.06,1,2,1,0.0721,205,7632.27,45.88,1
51,144127.69,4,1,23.24,0,1,3,0.6157,183,23122.21,16.04,2
23,114563.63,6,11,22.27,1,6,2,0.9064,158,32459.17,28.33,0
39,62688.94,4,6,9.91,7,5,4,0.2616,49,9940.99,15.86,0
28,55032.3,1,2,8.75,5,7,5,0.7504,173,23755.79,43.17,0
65,62209.94,7,2,5.8,5,1,3,0.3141,292,5195.93,8.35,2
33,119578.23,2,7,5.37,5,6,3,0.6871,202,4424.16,3.7,2
50,104285.03,9,10,31.39,0,9,4,0.68,342,4224.43,4.05,1
26,40001.4,3,1,6.35,3,2,6,0.2163,79,5020.78,12.55,1
23,38504.76,8,6,26.94,3,2,3,0.5874,176,7722.54,20.06,0
33,28283.41,8,7,31.16,6,11,3,0.8233,188,19786.5,69.96,0
46,104140.87,3,8,7.94,6,0,2,0.3943,21,26891.1,25.82,1
20,118190.31,4,7,18.09,7,2,3,0.6892,73,4614.62,3.9,1
37,50781.27,2,6,33.87,1,0,1,0.657,330,30476.52,60.02,1
53,17827.57,4,9,30.02,5,0,4,0.2818,47,29526.53,165.62,0
36,26093.18,9,3,19.69,1,0,3,0.8768,115,25513.1,97.78,0
43,145661.1,2,11,27.88,0,2,1,0.5572,46,15023.61,10.31,2
20,54885.04,3,6,30.0,1,5,1,0.3698,311,254.19,0.46,2
36,118845.12,4,4,15.44,4,1,1,0.1979,11,25769.82,21.68,1
37,99329.58,5,2,31.76,3,9,0,0.4761,336,30788.72,31.0,2
49,66561.85,1,1,19.11,1,2,2,0.7071,186,11867.97,17.83,1
24,42767.78,7,1,20.83,1,17,3,0.6113,278,25185.97,58.89,0
69,31387.17,7,11,34.99,2,15,2,0.7043,190,2359.26,7.52,0
58,98026.75,9,10,30.3,7,7,3,0.7626,328,24890.42,25.39,1
50,119575.56,4,3,15.85,1,13,3,0.4469,149,2577.14,2.16,1
57,101927.07,6,4,5.31,4,6,6,0.5181,105,20634.08,20.24,1
56,86590.79,2,2,23.79,3,11,2,0.9378,95,20994.85,24.25,0
35,20663.42,4,11,26.12,2,1,3,0.9212,251,10715.05,51.86,0
57,145745.98,2,11,24.52,7,2,4,0.4233,244,2953.47,2.03,2
18,122826.42,5,11,34.04,0,6,2,0.6667,217,33236.85,27.06,0
28,54530.97,7,1,30.89,6,2,4,0.2908,86,18838.09,34.55,1
45,147295.99,1,4,18.46,0,9,8,0.1874,120,20375.58,13.83,2
42,96254.01,7,7,6.89,3,10,1,0.7416,281,21602.73,22.44,1
67,93627.06,6,10,19.28,6,1,3,0.4426,85,31208.47,33.33,1
40,115989.88,6,11,25.68,0,8,3,0.2093,61,2296.9,1.98,0
48,124588.92,8,6,23.23,7,0,1,0.733,184,31286.41,25.11,1
47,103624.61,8,6,21.14,4,2,1,0.8737,314,8540.74,8.24,1
59,32292.93,6,11,19.06,1,3,2,0.8899,54,2912.67,9.02,0
52,60666.11,3,9,13.81,3,1,6,0.5867,265,23072.85,38.03,1
24,140291.29,5,2,13.32,6,4,2,0.4817,279,34198.75,24.38,2
33,45323.11,2,4,20.01,2,4,3,0.1777,297,2192.02,4.84,2
43,65242.55,5,5,9.82,1,1,4,0.7635,296,15029.04,23.04,1
65,73330.38,9,1,15.22,0,7,3,0.9008,35,18636.5,25.41,0
69,74319.67,1,8,14.72,0,4,2,0.8505,257,8973.74,12.07,1
66,97746.84,5,8,22.61,2,1,4,0.7266,68,34403.95,35.2,0
19,142315.24,6,6,7.0,4,1,3,0.0541,87,22505.52,15.81,1
18,47493.52,7,5,29.89,7,10,4,0.417,330,29583.4,62.29,1
65,31402.69,9,8,21.87,7,9,6,0.4196,174,14669.06,46.71,0
29,41658.52,6,3,25.12,2,1,4,0.8549,315,12517.66,30.05,1
22,134734.86,5,3,26.09,3,0,5,0.1091,348,19449.89,14.44,2
54,102184.46,7,2,13.74,2,8,3,0.5281,163,15347.69,15.02,1
49,53597.42,1,5,19.11,0,4,5,0.1725,61,25080.19,46.79,0
26,125152.84,5,3,33.69,4,0,3,0.6461,340,9450.47,7.55,2
58,131284.95,2,3,28.0,4,4,2,0.763,147,15845.77,12.07,2
52,129279.44,4,6,34.09,5,3,3,0.6278,154,31350.62,24.25,1
36,139055.08,7,8,27.39,2,7,3,0.7651,231,26512.55,19.07,2
65,49052.54,5,2,10.27,3,1,4,0.5967,30,6048.84,12.33,0
33,116930.66,6,4,6.94,0,3,1,0.2209,183,31062.9,26.57,2
20,77172.83,2,11,22.33,1,0,3,0.3944,100,20697.78,26.82,1
37,128669.8,3,7,15.73,7,15,5,0.9112,58,23839.19,18.53,0
41,113346.24,7,1,13.26,7,7,0,0.3094,309,10440.13,9.21,2
50,119820.41,2,1,29.22,7,6,1,0.1066,75,15565.74,12.99,1
41,103581.85,6,10,16.01,4,5,1,0.3963,181,28277.07,27.3,1
69,38952.88,5,7,14.51,7,2,2,0.3797,137,11707.53,30.06,1
28,88578.63,1,7,30.5,2,12,4,0.4733,344,5944.14,6.71,2
66,147930.41,4,1,30.39,5,0,1,0.5543,343,13365.01,9.03,2
25,141547.39,2,1,15.69,3,8,0,0.9432,336,2608.81,1.84,2
53,20828.45,4,4,29.97,3,1,2,0.7306,218,25181.4,120.9,0
55,37250.0,1,5,30.52,6,1,8,0.0823,216,5341.56,14.34,1
57,32783.38,2,5,17.72,7,3,3,0.6914,350,10122.38,30.88,1
37,113007.29,8,4,6.99,0,7,4,0.7918,69,30861.62,27.31,0
52,125401.02,6,8,5.05,4,9,4,0.8561,40,19009.32,15.16,0
65,43824.03,2,7,20.7,0,4,2,0.4316,17,11382.58,25.97,0
42,83290.11,6,9,15.32,7,2,2,0.3323,351,19258.81,23.12,2
52,128494.91,9,7,34.91,5,14,2,0.8054,316,7796.06,6.07,2
42,113928.21,7,10,28.17,1,1,3,0.7499,253,1076.02,0.94,1
46,88202.02,9,1,27.84,7,8,5,0.5324,117,21209.89,24.05,0
35,94696.94,5,7,33.66,1,4,1,0.1561,330,25051.58,26.45,1
63,83628.67,7,1,31.63,1,2,3,0.6366,96,30816.41,36.85,0
35,55169.04,7,7,14.55,3,0,0,0.1091,299,27061.54,49.05,2
19,91277.97,3,10,9.98,4,2,4,0.1403,34,32448.38,35.55,1
52,107999.52,7,8,27.38,7,1,5,0.348,17,34511.18,31.95,1
33,132898.59,1,11,16.35,0,0,4,0.3841,152,26123.75,19.66,2
58,100899.33,9,9,19.2,0,0,4,0.4658,142,30403.73,30.13,1
53,117751.41,6,3,23.91,5,2,2,0.3552,343,23645.86,20.08,2
50,36609.67,5,4,32.24,1,4,2,0.0804,162,6148.64,16.8,1
21,77310.26,7,4,17.57,4,9,3,0.1917,264,6523.24,8.44,2
50,16259.77,5,9,28.5,4,1,4,0.1536,92,4037.03,24.83,0
31,48301.65,5,7,13.05,5,2,4,0.4381,163,33015.52,68.35,0
38,113072.33,7,3,25.94,2,2,1,0.2409,191,23611.76,20.88,2
65,148894.34,7,10,5.05,4,3,2,0.3142,349,27688.86,18.6,2
37,28389.04,3,5,31.15,4,8,3,0.4744,314,11724.28,41.3,0
25,69201.73,3,7,5.91,0,4,2,0.262,234,16222.68,23.44,1
24,123009.58,3,8,26.38,5,9,2,0.2713,9,1584.33,1.29,1
20,42544.81,6,1,6.39,7,3,3,0.7998,62,31137.46,73.19,0
34,89936.47,6,2,12.99,4,4,5,0.5433,33,29884.52,33.23,0
50,113964.62,3,7,19.92,4,2,5,0.8211,21,27511.43,24.14,0
65,98158.04,3,11,17.6,0,8,0,0.5131,18,2228.91,2.27,1
29,40383.34,8,2,10.76,7,12,2,0.8683,205,6263.89,15.51,1
68,62976.92,8,7,15.01,7,5,4,0.2793,189,11829.14,18.78,1
39,120811.89,7,9,26.83,4,8,3,0.605,314,9354.58,7.74,1
39,89820.58,4,11,25.08,0,0,4,0.5029,309,29378.4,32.71,1
63,15706.0,4,2,7.15,2,11,3,0.8768,286,6980.28,44.44,0
47,117733.75,3,7,27.42,3,1,4,0.4266,327,18717.93,15.9,2
55,19767.03,5,4,6.59,6,1,7,0.8193,163,20084.06,101.6,0
55,115674.06,3,11,21.29,0,0,6,0.5575,264,14990.41,12.96,2
